x;y1;y2;y3;y4;y5;y6;y7;y8
0,00481;310,197;;;;;252,13;164,9;168,84
0,00962;753,155;;;;;592,78;593,62;461,44
0,01924;1017,603;;;;;1300,67;961,03;974,34
0,0481;3014,969;3016,43;2826,801;3891,269;3752,605;2988,44;2677,42;2603,75
0,0962;6156,517;;;;;6220,2;5001,48;5484,48
0,1924;13435,308;13434,198;13060,54;14854,421;7430,031;13254,07;12644,42;13133,22
0,481;34229,074;33505,902;32493,02;36663,43;36252;;;
0,962;68742,273;41153,523;67699,984;63146,402;76104,984;69725,85;62885,14;66840,52
1,443;137350,906;122222,031;114309,063;126260,266;128391,344;;;
1,924;161285,703;147539,172;161360,563;178362,375;178400,266;;;
