x;y1;y2;y3;y4;y5
0,0050985;;;;;
0,010197;;;;;
0,020394;;;;;
0,050985;;;;45,67;5,246
0,10197;;;;;
0,20394;;131,285;202,141;196,854;47,044
0,50985;176,31;61,528;755,471;479,084;509,671
1,0197;1137,89;62,997;542,03;1031,275;1240,28
1,52955;2763,502;1593,273;1966,607;2339,151;2245,5
2,0394;2878,483;2196,679;3945,038;3576,219;3539,908
