x;y1;y2;y3;y4;y5;y6;y7;y8
0,004664;133,418;;;;;118,2;;1,08
0,009328;576,055;;;;;254,14;;22,21
0,018656;679,566;;;;;552,69;56,04;72,44
0,04664;1857,971;2188,823;4498,373;2351,222;2166,761;1233,35;369,13;454,28
0,09328;3672,001;;;;;2508,16;833,08;911,87
0,18656;7635,257;9200,729;11574,38;8550,735;3981,333;4798,15;3316,53;3789,37
0,4664;19852,322;20424,727;23240,998;20210,24;18996,936;;;
0,9328;33586,941;25671,666;40410,77;33844,68;38218,203;30503,5;17577,27;19151,2
1,3992;61785,691;70374,102;61233,609;61867,984;60232,676;;;
1,8656;78723,117;81373,609;84885,086;87372,578;83372,406;;;
