x;y1;y2;y3;y4;y5;y6;y7;y8
0,0045;0,6;;;;;;;
0,009;0,424;;;;;;;
0,018;9,97;;;;;;;
0,045;1,646;56,918;29,925;69,187;120,224;23,72;4,29;18,45
0,09;76,814;;;;;95,2;106,2;106,01
0,18;321,601;377,3;184,183;285,702;117,345;314,58;206,24;207,6
0,45;940,244;960,89;725,378;841,143;972,36;;;
0,9;1608,532;810,545;1733,534;1430,71;1937,257;1678,92;867,87;1272,32
1,35;3432,028;3039,78;2622,095;2780,781;2989,44;;;
1,8;3891,323;3322,832;3454,199;3414,418;3995,917;;;
