x;y1;y2;y3;y4;y5
0,0052205;;;;;
0,010441;;;;;
0,020882;;;;;
0,010441;;86104,336;67288,906;90425,531;83477,016
0,0010441;;;;;
0,020882;;179220,891;161274,844;172578,969;82776,414
0,052205;;414678,031;387455,938;407895,375;392998,656
0,10441;;549077,188;848200,688;763881,75;906943,938
0,156615;;1526050;1358590,625;1482609,375;1459009
0,20882;;1831111,125;1851239,25;2052753,125;2014815,5
