x;y1;y2;y3;y4;y5;y6;y7;y8
0,005148;114,447;;;;;111,78;16,36;0,8
0,010296;395,382;;;;;139,76;82,79;353,32
0,020592;783,049;;;;;209,48;405,35;94,16
0,05148;1774,331;2704,861;1900,073;3302,874;2898,916;1096,46;967,73;1234,4
0,10296;5038,966;;;;;1842,06;1458,79;2575,14
0,20592;10661,827;13353,199;10002,19;11860,139;5648,145;4503,17;4357,12;6392,48
0,5148;28176,398;29042,352;22222,047;27436,514;29860,732;;;
1,0296;51348,766;34938,324;54461,258;49484,559;57172,164;26204,97;21299,33;25529,11
1,5444;86654,945;96538,352;84056,961;94558,602;93758,297;;;
2,0592;108923,906;115784,633;111860,703;135557,438;128623,617;;;
