x;y1;y2;y3;y4;y5;y6;y7;y8
0,00485;844,714;;;;;650,26;599,71;713,61
0,0097;2701,605;;;;;1856,47;1454,99;1534,82
0,0194;4330,599;;;;;3469,66;2651,1;2736,3
0,0485;10865,214;10561,186;7953,381;11029,697;10876,254;8253,98;7280,16;7994,8
0,097;20329,219;;;;;16436,1;14438,91;16309,4
0,194;44639,492;45734,949;37054,488;41521,016;20944,979;33581,88;32627,97;37569,91
0,485;112490,422;108808,258;91780,656;97416,117;100595,773;;;
0,97;216776,344;131951,75;198716,641;175114,344;203575,688;170578,59;156472,77;171690,06
1,455;411310,406;362685,188;320026,156;335611,563;335966,906;;;
1,94;480831,594;440854,219;434951,969;478681,406;465260,563;;;
