x;y1;y2;y3;y4;y5;y6;y7;y8
0,002432;268,106;;;;;22,71;;29,41
0,004864;202,08;;;;;122,22;9,55;36,35
0,009728;439,292;;;;;183,27;10,33;66,17
0,02432;704,474;2120,144;3662,903;4178,204;1801,615;355,65;13,76;96,04
0,04864;1214,198;;;;;755,3;41,03;152,3
0,09728;2868,202;12267,593;16013,535;11971,815;4719,068;1569,8;157,42;176,75
0,2432;6098,835;29881,641;34953,676;31129,004;25937,268;;;
0,4864;19817,5;36167,305;67562,07;56841,672;63633,824;12975,58;532,24;685,07
0,7296;40078,793;115586,5;106491,586;116548,57;109041,719;;;
0,9728;67054,844;144465,281;157004,391;165441,297;160549,609;;;
