x;y1;y2;y3;y4;y5;y6;y7;y8
0,0043575;16,466;;;;;10,46;;17,13
0,008715;107,943;;;;;116,46;29,07;49,59
0,01743;164,178;;;;;137,71;132,58;99,28
0,043575;609,337;584,525;434,014;818,589;873,699;575,82;436,73;302,03
0,08715;1174,053;;;;;1216,19;821,56;984,87
0,1743;2192,075;2343,784;2584,935;2697,384;1482,323;1860,16;2260,94;1743,87
0,43575;5975,093;5833,139;5510,688;6752,394;6465,578;;;
0,8715;10999,259;7431,796;11492,205;10955,747;13580,28;10603,54;9706,21;10617
1,30725;19294,225;16771,801;16197,399;19416,572;20751,439;;;
1,743;21388,641;20302,973;23030,561;25984,461;26222,098;;;
