x;y1;y2;y3;y4;y5;y6;y7;y8
0,00435;6,759;;;;;;;0,3
0,0087;25,155;;;;;0,69;1,82;
0,0174;3,87;;;;;2,39;28,44;6,66
0,0435;61,198;51,644;35,859;28,324;66,111;5,02;0,15;6,7
0,087;76,816;;;;;31,61;31,94;11,34
0,174;236,969;216,958;241,239;185,104;61,159;65,02;118,9;73,11
0,435;392,186;648,906;367,542;350,279;471,361;;;
0,87;746,454;618,474;763,188;465,102;716,159;442,84;331;518,19
1,305;1231,809;1404,186;955,458;1131,714;1142,551;;;
1,74;1569,412;1484,555;1584,8;1568,56;1340,825;;;
