x;y1;y2;y3;y4;y5
0,0052434;1,928;;;;
0,0104868;2,967;;;;
0,0209736;9,787;;;;
0,052434;0,518;2,671;0,426;;33,221
0,104868;0,477;;;;
0,209736;2,674;27,748;1,036;20,273;2,837
0,52434;42,118;47,035;;64,407;169,216
1,04868;0,628;133,288;26,593;343,73;1107,116
1,57302;605,516;383,551;1,92;723,617;751,546
2,09736;-0,439;521,422;1,341;1526,18;1290,403
